What is your age range?,What is your gender?,"What is your approximate total household investable assets? (includes checking, savings, or money market accounts and investments – excludes your primary residence and employer-sponsored retirement accounts)",Which of the following best describes your level of comfort using technology?,What is your usual method for contacting a company? - Selected Choice,What is your usual method for contacting a company? - Other - Text,"How often do you call companies for customer service (ie support, issue, order)?",Why do you typically call customer service or a company phone number? - Selected Choice,Why do you typically call customer service or a company phone number? - Other - Text,"When you call a company, do you prefer to speak to a live agent or use an voice assistant?",How would you rate your overall experience with virtual assistants when calling a company or customer service line?,"In the past, when speaking with virtual assistant for a company, did the virtual assistant accurately understand and address your needs or concerns?",How easy or difficult do you find it to communicate with a virtual assistant when calling a company?,Can you please explain what parts of the experience make it difficult?,Can you please explain what parts of the experience make it easy?,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Clarity of instructions,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ease of navigation,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Speed of response,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Accuracy of information,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ability to reach a live agent,How comfortable are you with virtual assistants that capture your information?,Can you please explain what makes you feel that way?,At what point during the conversation with the voice assistant would you prefer to speak to a live agent?,How would you rate your comfort level with an automated system handling the following tasks? - Password reset,How would you rate your comfort level with an automated system handling the following tasks? - Real-time account balance,"How would you rate your comfort level with an automated system handling the following tasks? - Account information (Direct deposit setup, routing information)",How would you rate your comfort level with an automated system handling the following tasks? - Recently cleared checks,How would you rate your comfort level with an automated system handling the following tasks? - Physical Check reorder,How would you rate your comfort level with an automated system handling the following tasks? - Stop payment on a check,How would you rate your comfort level with an automated system handling the following tasks? - Withdrawal activity,How would you rate your comfort level with an automated system handling the following tasks? - Deposit activity,How would you rate your comfort level with an automated system handling the following tasks? - Credit card payment,"How would you rate your comfort level with an automated system handling the following tasks? - Rate & Yields (Dividend interest payments, fund yield etc)",How would you rate your comfort level with an automated system handling the following tasks? - Product features and benefits,How would you rate your comfort level with an automated system handling the following tasks? - Mortgage Inquiry,"Imagine that you need to reset your password.
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your password is reset).

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need to check your account balance. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie you are told your account balance). 

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need assistance navigating the company's home page. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your questions or concerns about the home page are answered). 

Ideally, how do you envision this interaction playing out with an voice assistant?"
45-54,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,they did not understand what I was saying ,,3,4,5,1,2,Neutral,,After trying the automated system once,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Neutral,they would ask security questions and allow me to change password without collecting it,I ask for balance one time and balance given ,ask for agent and be connected 
25-34,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Social media messaging,,A few times a month,To ask a question about a product or service,,Prefer a voice assistant but may speak to a live agent,Good,Yes,Somewhat easy,,when there is communication,1,3,2,4,5,Somewhat comfortable,,After multiple attempts with the automated system,Neutral,Comfortable,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,see what the reset is,check the account balance,check the next page
65,Male,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,no matter what you ask it never answers correctly,,5,4,3,2,1,Neutral,,Immediately,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Not Comfortable,"normally you click, forgot password and they send you an email that you click on a link and then enter your new email. ",It will automatically goes through all your checking account details. ,it would ask you which dept you need help with and you push the button or say accounting and then it goes there. 
55-65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,VA misunderstands key words ,,2,5,4,1,3,Somewhat uncomfortable,Room for error and misunderstandings ,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Neutral,It works.  Experienced this in the past and quicker than human ,It works,Takes too much time
45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,"they are very black and white, and useless if your problem isn't typical",,3,1,4,5,2,Somewhat uncomfortable,They waste time,Immediately,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Neutral,Neutral,It should be as quick as possible,Hopefully quick,I don't really understand what this is asking for.
65,Female,"$1,000,000 - $5,000,000",Somewhat uncomfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Neutral,,,4,5,2,3,1,Extremely uncomfortable,I want my information kept private ,Immediately,Not Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not well ,Ok,Maybe ok
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,They don't always know what you are trying to tell them.,,5,1,3,4,2,Neutral,,After trying the automated system once,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Comfortable,Not Comfortable,It allowing me to reset my password without any hassle.,It asks account number and i get my balance.,I ask where to locate something on the page and they direct me to it.
35-44,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Somewhat difficult,Not giving correct option,,3,4,1,5,2,Neutral,,After trying the automated system once,Neutral,Comfortable,Not Comfortable,Comfortable,Neutral,Not Comfortable,Neutral,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Very difficult ,Easy they will offer it immediately ,Very painfully 
45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Prefer a live agent but may speak to an voice assistant,Poor,Kind of,Neutral,,,5,4,3,1,2,Neutral,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,I say reset password and it tells me that it sent an email with a link to reset my password.  ,I say account balance and it tells me my balance.  ,I have to repeat myself multiple times for the voice assistant to fully understand what I want before I get the resolution.  
45-54,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,Never can get what I need and have a hard time getting to a live person.,,4,2,5,3,1,Neutral,,Immediately,Comfortable,Comfortable,Neutral,Neutral,Neutral,Not Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Not Comfortable,It asks me for my account number and verifies my new password.,My account balances are read to me by a computerized voice.,I imagine this would not work properly
65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Neutral,,,3,4,5,2,1,Neutral,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,I would be asked a lot of identification questions and eventually get the desired outcome,Respond to prompts and get the desired outcome,The task is too vague to be handled by voice assistant
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,Repetitive information,,5,3,2,4,1,Somewhat uncomfortable,Don’t like unproductive time spent,Immediately,Not Comfortable,Neutral,Comfortable,Neutral,Neutral,Neutral,Not Comfortable,Not Comfortable,Neutral,Comfortable,Comfortable,Not Comfortable,Not easy,Ok,Not well
55-65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Terrible,No,Extremely difficult,It has difficulty understanding what I’m saying ,,4,3,2,5,1,Somewhat uncomfortable,They typically cannot fully address my concerns ,Immediately,Comfortable,Neutral,Neutral,Neutral,Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,It would take longer and be frustrating ,It would give me an immediate answer ,This would take numerous tries 
45-54,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Extremely difficult,They have certain verbiage that needs to be used. And getting passed those barriers is challenging ,,2,5,3,4,1,Somewhat uncomfortable,It’s so challenging since they expect certain responses and mine never line up,After multiple attempts with the automated system,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Neutral,Not Comfortable,Neutral,Not sure but my responses never line up ,That’s easy enough and no struggle hearing balance,Not sure
35-44,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,"They don’t seem to understand my dilemma or problems, and keep going back to the main menu",,5,2,3,4,1,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Easy simple and quick ,Easy fast ,I think this would be easily accomplished through the virtual
25-34,Female,"$5,000,000 - $10,000,000",Somewhat comfortable,Phone,,A few times a month,To place an order or make a purchase,,Prefer a voice assistant but may speak to a live agent,Good,Yes,Somewhat difficult,The virtual assistants that are talking and it’s hard for me to really understand unless it’s in English,,1,3,4,2,5,Somewhat comfortable,,Immediately,Neutral,Comfortable,Not Comfortable,Comfortable,Neutral,Comfortable,Neutral,Not Comfortable,Comfortable,Neutral,Comfortable,Neutral,It would be a good thing to reset my password if I forgot it with a voice a agent,It is more easier to use a voice  assistant for this ,It is more easier to use a voice assistant to reset a passcode or password because is a robot I’m not a real person
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Poor,Kind of,Somewhat difficult,My concern is usually very specific and not a general typical problem,,1,3,5,4,2,Neutral,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Not Comfortable,Step one verify who I am. Step 2 ask what I want new password to be. Step3. Asst. does it and ready to go,Verify me and ask question and get answer,Not well as I am not good at verbalizing what I am seeing with what I want 
65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Neutral,,,5,2,3,4,1,Extremely comfortable,,After trying the automated system once,Neutral,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Comfortable,Not Comfortable,Not workong,Not good,Not at all
65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Somewhat easy,,"Can respond to basic questions and refer me to a human being CS rep.  But, as questions become more complex, it becomes ""less easy.""",3,4,1,5,2,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,The voice assistant should ask just a few basic questions and then instruct me through the process.,"A brief collection of basic info (account #, identifying info on me, key question).  Then, options for how info to be provided.",Have never used a voice assistant for such.  Can't imagine the need.
55-65,Male,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,They cannot understand what being said over the phone,,3,1,4,5,2,Somewhat uncomfortable,Just frustrating ,Immediately,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,It never went well so not sure.,That I get the response I need,That my issues get resolved 
65,Female,"$1,000,000 - $5,000,000",Neutral,Email,,A few times a year,Other,all of above,Always prefer a live agent,Terrible,No,Extremely difficult,They do not know what I am having a problem with,,2,5,3,4,1,Extremely uncomfortable,Just what are they going to do with the info,After trying the automated system once,Comfortable,Neutral,Neutral,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Neutral,I just hope it happens,It should be the same,Should be the same
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Somewhat easy,,There are usually a menu of issues to choose from and it makes it easier to get the help I need ,1,3,4,2,5,Somewhat comfortable,,After multiple attempts with the automated system,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,As long as I get the intI need to reset my password and it works I am fine with it.,I usually just check online but I don’t need a human agent for that.,As long as I can accomplish what I need I’m happy with a voice assistant 
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,Kind of,Neutral,,,5,4,1,3,2,Neutral,,Immediately,Neutral,Comfortable,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Comfortable,Neutral,Comfortable,Terribly,Would get a balance,Terribly 
55-65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,I cant explain the issues most of the time to a computer,,4,1,2,5,3,Neutral,,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Says exactly how to reset password,Giving account info then the balance is stated,I dont
65,Female,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Somewhat difficult,Because most of the time they do not understand the question.,,1,3,4,5,2,Extremely uncomfortable,"Because do not want to talk to a machine, live agent.",After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,that it would work,should work,with great difficulty
55-65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,Can’t understand my questions ,,4,5,2,3,1,Somewhat comfortable,,Immediately,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Having it reset my password ,Having it give me mybalance,Not good
